int Index	int Constellation	string Constellation Name	int Stars Subgroup	int Star Number	string Star Name	float Star Size	Color Star Color 	V2 Cel Coordinates(hr,Degree)	V2 Cel Coordinates (Normalized)	 float radius	float theta	float phi +	V3 Cartesian
764	13	Constellation_Canis_Major	1	37	Star_Sphere (37)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.31611, -20.94615)	(-0.5263425, -0.232735)	400	1.936376	1.653554	(-30.88009, 372.2882, -142.9961)
765	13	Constellation_Canis_Major	1	38	Star_Sphere (38)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.607409, -18.66285)	(-0.5506175, -0.207365)	400	1.896525	1.729816	(-60.00952, 374.1858, -127.9995)
766	13	Constellation_Canis_Major	1	39	Star_Sphere (39)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.47805, -17.47485)	(-0.5398375, -0.194165)	400	1.87579	1.69595	(-47.62635, 378.5554, -120.1149)
767	13	Constellation_Canis_Major	1	40	Star_Sphere (40)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.839849, -17.0946)	(-0.5699875, -0.18994)	400	1.869153	1.790668	(-83.38766, 373.1239, -117.5801)
768	13	Constellation_Canis_Major	1	41	Star_Sphere (41)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.888659, -19.0116)	(-0.574055, -0.21124)	400	1.902611	1.803447	(-87.19247, 367.9924, -130.3038)
769	13	Constellation_Canis_Major	1	42	Star_Sphere (42)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.91803, -20.4156)	(-0.5765025, -0.22684)	400	1.927116	1.811136	(-89.23245, 364.0998, -139.5309)
770	13	Constellation_Canis_Major	1	43	Star_Sphere (43)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.9303, -22.94865)	(-0.577525, -0.254985)	400	1.971326	1.814348	(-88.82609, 357.4712, -155.9624)
771	13	Constellation_Canis_Major	1	44	Star_Sphere (44)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.95982, -24.64425)	(-0.579985, -0.273825)	400	2.00092	1.822077	(-90.39851, 352.1479, -166.7931)
772	13	Constellation_Canis_Major	1	45	Star_Sphere (45)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.97698, -25.4259)	(-0.581415, -0.28251)	400	2.014562	1.826569	(-91.39541, 349.5042, -171.7374)
773	13	Constellation_Canis_Major	1	46	Star_Sphere (46)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.01895, -25.21665)	(-0.5849125, -0.280185)	400	2.01091	1.837557	(-95.39477, 349.0815, -170.4169)
774	13	Constellation_Canis_Major	1	47	Star_Sphere (47)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.02054, -25.9587)	(-0.585045, -0.28843)	400	2.023861	1.837973	(-94.94939, 346.8838, -175.0893)
775	13	Constellation_Canis_Major	1	48	Star_Sphere (48)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.1718, -27.49905)	(-0.59765, -0.305545)	400	2.050745	1.877573	(-107.1473, 338.2422, -184.6936)
776	13	Constellation_Canis_Major	1	49	Star_Sphere (49)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.24671, -27.0279)	(-0.6038925, -0.30031)	400	2.042522	1.897184	(-114.2428, 337.5031, -181.7697)
777	13	Constellation_Canis_Major	1	50	Star_Sphere (50)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.41102, -31.81635)	(-0.617585, -0.353515)	400	2.126096	1.940201	(-122.7232, 316.9684, -210.8793)
778	13	Constellation_Canis_Major	1	51	Star_Sphere (51)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.38414, -31.9455)	(-0.615345, -0.35495)	400	2.12835	1.933163	(-120.3208, 317.3788, -211.6449)
779	13	Constellation_Canis_Major	1	52	Star_Sphere (52)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.39242, -32.2263)	(-0.616035, -0.35807)	400	2.133251	1.935331	(-120.6372, 316.1444, -213.3059)
780	13	Constellation_Canis_Major	1	53	Star_Sphere (53)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.25574, -30.69225)	(-0.604645, -0.341025)	400	2.106477	1.899548	(-111.0544, 325.5476, -204.1707)
781	13	Constellation_Canis_Major	1	54	Star_Sphere (54)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.39074, -27.84015)	(-0.615895, -0.309335)	400	2.056699	1.934891	(-125.9545, 330.5152, -186.8025)
782	13	Constellation_Canis_Major	1	55	Star_Sphere (55)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.31448, -26.5995)	(-0.60954, -0.29555)	400	2.035045	1.914926	(-120.6677, 336.6932, -179.1005)
783	13	Constellation_Canis_Major	1	56	Star_Sphere (56)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.34907, -26.9586)	(-0.6124225, -0.29954)	400	2.041313	1.923982	(-123.321, 334.5269, -181.3386)
784	13	Constellation_Canis_Major	1	57	Star_Sphere (57)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.204289, -25.9533)	(-0.6003575, -0.28837)	400	2.023767	1.886079	(-111.5253, 341.9323, -175.0554)
785	13	Constellation_Canis_Major	1	58	Star_Sphere (58)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.161929, -25.2351)	(-0.5968274, -0.28039)	400	2.011232	1.874989	(-108.3753, 345.2147, -170.5334)
786	13	Constellation_Canis_Major	1	59	Star_Sphere (59)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.42413, -25.22475)	(-0.6186775, -0.280275)	400	2.011051	1.943633	(-131.8095, 336.9969, -170.4681)
787	13	Constellation_Canis_Major	1	60	Star_Sphere (60)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.12275, -23.8608)	(-0.5935625, -0.26512)	400	1.987246	1.864732	(-105.9835, 350.1231, -161.8064)
788	13	Constellation_Canis_Major	1	61	Star_Sphere (61)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.22322, -22.6836)	(-0.601935, -0.25204)	400	1.9667	1.891034	(-116.1772, 350.2966, -154.2568)
789	13	Constellation_Canis_Major	1	62	Star_Sphere (62)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.44864, -23.0994)	(-0.62072, -0.25666)	400	1.973957	1.950049	(-136.2176, 341.7856, -156.931)
790	13	Constellation_Canis_Major	1	63	Star_Sphere (63)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.19487, -20.88855)	(-0.5995725, -0.232095)	400	1.93537	1.883613	(-115.0054, 355.5744, -142.6205)
791	13	Constellation_Canis_Major	1	64	Star_Sphere (64)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.36971, -19.04715)	(-0.6141425, -0.211635)	400	1.903232	1.929386	(-132.6956, 354.0503, -130.5385)
792	13	Constellation_Canis_Major	1	65	Star_Sphere (65)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.45128, -17.8767)	(-0.62094, -0.19863)	400	1.882804	1.95074	(-141.1851, 353.5391, -122.7879)
793	13	Constellation_Canis_Major	1	66	Star_Sphere (66)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.271669, -15.6087)	(-0.6059725, -0.17343)	400	1.84322	1.903719	(-125.9017, 364.0952, -107.6264)
794	13	Constellation_Canis_Major	1	67	Star_Sphere (67)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.32486, -16.40295)	(-0.610405, -0.182255)	400	1.857082	1.917644	(-130.4397, 360.8689, -112.9564)
795	13	Constellation_Canis_Major	1	68	Star_Sphere (68)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.41018, -16.2207)	(-0.617515, -0.18023)	400	1.853901	1.939981	(-138.596, 358.1988, -111.7352)
796	13	Constellation_Canis_Major	1	69	Star_Sphere (69)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.35024, -14.36265)	(-0.61252, -0.159585)	400	1.821472	1.924288	(-134.1425, 363.5388, -99.2234)
797	13	Constellation_Canis_Major	1	70	Star_Sphere (70)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.93618, -14.0445)	(-0.578015, -0.15605)	400	1.815919	1.815888	(-94.15668, 376.4464, -97.07019)
798	13	Constellation_Canis_Major	1	71	Star_Sphere (71)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.22004, -11.25315)	(-0.60167, -0.125035)	400	1.767201	1.890202	(-123.1863, 372.4677, -78.05769)
799	13	Constellation_Canis_Major	1	72	Star_Sphere (72)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.41945, -13.77)	(-0.6182875, -0.153)	400	1.811128	1.942407	(-141.0723, 361.9857, -95.21001)
800	13	Constellation_Canis_Major	1	73	Star_Sphere (73)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.11096, -11.3076)	(-0.59258, -0.12564)	400	1.768151	1.861645	(-112.4796, 375.7619, -78.43048)
801	13	Constellation_Canis_Major	1	74	Star_Sphere (74)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.779759, -14.45265)	(-0.56498, -0.160585)	400	1.823043	1.774937	(-78.5241, 379.2988, -99.83192)
802	13	Constellation_Canis_Major	1	75	Star_Sphere (75)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.76635, -14.8041)	(-0.5638625, -0.16449)	400	1.829177	1.771426	(-77.06857, 378.9649, -102.206)
803	13	Constellation_Canis_Major	1	76	Star_Sphere (76)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.8151, -15.17535)	(-0.567925, -0.168615)	400	1.835656	1.784189	(-81.7568, 377.2953, -104.7096)
804	13	Constellation_Canis_Major	1	77	Star_Sphere (77)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.51201, -27.7983)	(-0.5426675, -0.30887)	400	2.055968	1.70484	(-47.28793, 350.6638, -186.5442)
805	13	Constellation_Canis_Major	1	78	Star_Sphere (78)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.39861, -25.5798)	(-0.5332175, -0.28422)	400	2.017248	1.675152	(-37.58266, 358.8311, -172.7071)
806	13	Constellation_Canis_Major	1	79	Star_Sphere (79)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.47709, -32.3838)	(-0.5397575, -0.35982)	400	2.136	1.695698	(-42.08123, 335.1603, -214.2353)
807	13	Constellation_Canis_Major	1	80	Star_Sphere (80)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.54408, -32.03865)	(-0.54534, -0.355985)	400	2.129976	1.713236	(-48.13482, 335.6422, -212.1965)
808	13	Constellation_Canis_Major	1	81	Star_Sphere (81)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.57759, -32.72805)	(-0.5481325, -0.363645)	400	2.142009	1.722009	(-50.68917, 332.6587, -216.2609)
809	13	Constellation_Canis_Major	1	82	Star_Sphere (82)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.62958, -32.35185)	(-0.552465, -0.359465)	400	2.135443	1.73562	(-55.44389, 333.3315, -214.0469)
810	13	Constellation_Canis_Major	1	83	Star_Sphere (83)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.75405, -31.7376)	(-0.5628375, -0.35264)	400	2.124722	1.768206	(-66.72079, 333.5793, -210.412)
811	13	Constellation_Canis_Major	1	84	Star_Sphere (84)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.84117, -31.70925)	(-0.5700975, -0.352325)	400	2.124227	1.791014	(-74.33381, 332.0724, -210.2437)
812	13	Constellation_Canis_Major	1	85	Star_Sphere (85)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.74136, -31.077)	(-0.56178, -0.3453)	400	2.113192	1.764884	(-66.07573, 336.1573, -206.4758)
813	13	Constellation_Canis_Major	1	86	Star_Sphere (86)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.75882, -30.95505)	(-0.563235, -0.343945)	400	2.111064	1.769455	(-67.69821, 336.2818, -205.7462)
814	13	Constellation_Canis_Major	1	87	Star_Sphere (87)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(6.660689, -30.48525)	(-0.5550575, -0.338725)	400	2.102864	1.743765	(-59.32597, 339.5604, -202.9266)
815	13	Constellation_Canis_Major	1	88	Star_Sphere (88)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(7.351769, -25.9137)	(-0.6126475, -0.28793)	400	2.023076	1.924689	(-124.6828, 337.486, -174.8068)
816	14	Constellation_Canis_Minor	0	0	Star_Sphere	1.5	RGBA(1.000, 1.000, 1.000, 1.000)	(7.65339, 5.22405)	(-0.6377825, 0.058045)	400	1.47962	2.003653	(-167.0893, 361.6003, 36.42022)
817	14	Constellation_Canis_Minor	0	1	Star_Sphere (1)	0.9	RGBA(1.000, 1.000, 1.000, 1.000)	(7.45029, 8.283151)	(-0.6208575, 0.092035)	400	1.426228	1.950481	(-146.7046, 367.6371, 57.62605)
818	14	Constellation_Canis_Minor	1	2	Star_Sphere (2)	0.8	RGBA(1.000, 1.000, 1.000, 1.000)	(7.46793, 8.92755)	(-0.6223275, 0.099195)	400	1.414981	1.9551	(-148.1485, 366.3315, 62.07414)
819	14	Constellation_Canis_Minor	1	3	Star_Sphere (3)	0.7	RGBA(1.000, 1.000, 1.000, 1.000)	(7.5333, 1.91385)	(-0.627775, 0.021265)	400	1.537393	1.972213	(-156.2021, 367.9979, 13.35871)
820	14	Constellation_Canis_Minor	1	4	Star_Sphere (4)	0.6	RGBA(1.000, 1.000, 1.000, 1.000)	(7.55058, 3.29895)	(-0.629215, 0.036655)	400	1.513219	1.976737	(-157.6916, 366.8835, 23.01826)
821	14	Constellation_Canis_Minor	1	5	Star_Sphere (5)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(7.5696, 3.3741)	(-0.6308, 0.03749)	400	1.511907	1.981717	(-159.5043, 366.0657, 23.54203)
822	14	Constellation_Canis_Minor	1	6	Star_Sphere (6)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(7.42632, 9.283051)	(-0.61886, 0.103145)	400	1.408777	1.944206	(-144.006, 367.558, 64.52475)
823	14	Constellation_Canis_Minor	1	7	Star_Sphere (7)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(7.86027, 1.7703)	(-0.6550225, 0.01967)	400	1.539899	2.057814	(-187.1076, 353.3243, 12.35706)
824	14	Constellation_Canis_Minor	1	8	Star_Sphere (8)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(7.46601, 6.9453)	(-0.6221675, 0.07717)	400	1.449578	1.954597	(-148.6799, 368.1776, 48.36865)
825	14	Constellation_Canis_Minor	1	9	Star_Sphere (9)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(7.495561, 12.0033)	(-0.62463, 0.13337)	400	1.361299	1.962333	(-149.3063, 361.6456, 83.18719)
826	14	Constellation_Canis_Minor	1	10	Star_Sphere (10)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(8.03553, 2.3427)	(-0.6696275, 0.02603)	400	1.529909	2.103697	(-203.0438, 344.2469, 16.35056)
827	14	Constellation_Canis_Minor	1	11	Star_Sphere (11)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(7.77, 10.77165)	(-0.6475, 0.119685)	400	1.382796	2.034181	(-175.6411, 351.5131, 74.7581)
828	14	Constellation_Canis_Minor	1	12	Star_Sphere (12)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.12935, 7.476301)	(-0.5941125, 0.08307)	400	1.44031	1.86646	(-115.559, 379.3907, 52.0464)
829	14	Constellation_Canis_Minor	1	13	Star_Sphere (13)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.23711, 3.11085)	(-0.6030925, 0.034565)	400	1.516502	1.894671	(-127.1093, 378.645, 21.70715)
830	14	Constellation_Canis_Minor	1	14	Star_Sphere (14)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.32285, 2.7279)	(-0.6102375, 0.03031)	400	1.523185	1.917118	(-135.6221, 375.8247, 19.03714)
831	14	Constellation_Canis_Minor	1	15	Star_Sphere (15)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.36572, 0.1854003)	(-0.61381, 0.00206)	400	1.567561	1.928341	(-139.9894, 374.7016, 1.294307)
832	14	Constellation_Canis_Minor	1	16	Star_Sphere (16)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.32711, 7.15185)	(-0.6105925, 0.079465)	400	1.445973	1.918233	(-135.1358, 373.1733, 49.79976)
833	14	Constellation_Canis_Minor	1	17	Star_Sphere (17)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.258111, 7.9749)	(-0.6048425, 0.08861)	400	1.431608	1.900169	(-128.1285, 374.8377, 55.4957)
834	14	Constellation_Canis_Minor	1	18	Star_Sphere (18)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.41417, 11.68515)	(-0.6178475, 0.129835)	400	1.366852	1.941025	(-141.732, 365.1696, 81.01337)
835	14	Constellation_Canis_Minor	1	19	Star_Sphere (19)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.24185, 12.12975)	(-0.6034875, 0.134775)	400	1.359092	1.895912	(-124.9148, 370.5831, 84.0505)
836	14	Constellation_Canis_Minor	1	20	Star_Sphere (20)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.92378, 8.8281)	(-0.660315, 0.09809)	400	1.416717	2.074441	(-190.7613, 346.1815, 61.38819)
837	14	Constellation_Canis_Minor	1	21	Star_Sphere (21)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(8.01936, 4.87845)	(-0.66828, 0.054205)	400	1.485651	2.099464	(-201.0224, 344.1407, 34.01685)
838	14	Constellation_Canis_Minor	1	22	Star_Sphere (22)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.971, 2.2194)	(-0.66425, 0.02466)	400	1.532061	2.086803	(-197.2162, 347.6576, 15.49045)
839	14	Constellation_Canis_Minor	1	23	Star_Sphere (23)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(7.691851, 3.63375)	(-0.6409876, 0.040375)	400	1.507375	2.013722	(-171.0892, 360.6741, 25.35134)
840	15	Constellation_Capricornus	0	0	Star_Sphere	1	RGBA(1.000, 1.000, 1.000, 1.000)	(20.29779, -12.53925)	(0.3085175, -0.139325)	400	1.789648	5.313949	(220.9722, -321.9154, -86.84337)
841	15	Constellation_Capricornus	0	1	Star_Sphere (1)	0.9	RGBA(1.000, 1.000, 1.000, 1.000)	(20.34903, -14.79105)	(0.3042475, -0.164345)	400	1.828949	5.327364	(223.1281, -315.8889, -102.1179)
842	15	Constellation_Capricornus	0	2	Star_Sphere (2)	0.8	RGBA(1.000, 1.000, 1.000, 1.000)	(21.66816, -16.65585)	(0.19432, -0.185065)	400	1.861496	5.672711	(313.9993, -219.6816, -114.649)
843	15	Constellation_Capricornus	0	3	Star_Sphere (3)	0.7	RGBA(1.000, 1.000, 1.000, 1.000)	(21.78432, -16.1334)	(0.18464, -0.17926)	400	1.852377	5.703122	(321.3948, -210.597, -111.1499)
844	15	Constellation_Capricornus	0	4	Star_Sphere (4)	0.6	RGBA(1.000, 1.000, 1.000, 1.000)	(21.61422, -19.4751)	(0.198815, -0.21639)	400	1.910701	5.65859	(305.9153, -220.525, -133.3589)
845	15	Constellation_Capricornus	0	5	Star_Sphere (5)	0.6	RGBA(1.000, 1.000, 1.000, 1.000)	(21.44472, -22.4244)	(0.21294, -0.24916)	400	1.962176	5.614215	(290.057, -229.3132, -152.5856)
846	15	Constellation_Capricornus	0	6	Star_Sphere (7)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.09906, -17.2539)	(0.241745, -0.19171)	400	1.871934	5.523721	(277.0283, -263.0195, -118.6426)
847	15	Constellation_Capricornus	0	7	Star_Sphere (8)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.36909, -16.82955)	(0.2192425, -0.186995)	400	1.864527	5.594415	(295.5849, -243.3466, -115.8102)
848	15	Constellation_Capricornus	0	8	Star_Sphere (14)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.4945, -18.6021)	(0.292125, -0.20669)	400	1.895464	5.365448	(230.3498, -301.0944, -127.5977)
849	15	Constellation_Capricornus	0	9	Star_Sphere (22)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.7675, -25.27695)	(0.269375, -0.280855)	400	2.011962	5.436919	(239.7299, -270.8463, -170.7977)
850	15	Constellation_Capricornus	0	10	Star_Sphere (23)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.86359, -26.9289)	(0.2613675, -0.29921)	400	2.040794	5.462075	(243.0094, -261.0168, -181.1538)
851	15	Constellation_Capricornus	0	11	Star_Sphere (24)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.11787, -25.0254)	(0.2401775, -0.27806)	400	2.007572	5.528646	(264.075, -248.2601, -169.208)
852	15	Constellation_Capricornus	0	12	Star_Sphere (25)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.47688, -21.8151)	(0.21026, -0.24239)	400	1.951542	5.622634	(293.2422, -227.8457, -148.645)
853	15	Constellation_Capricornus	1	13	Star_Sphere (6)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.07302, -19.8612)	(0.243915, -0.22068)	400	1.91744	5.516904	(271.0553, -260.8851, -135.8971)
854	15	Constellation_Capricornus	1	14	Star_Sphere (9)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.70902, -18.8856)	(0.190915, -0.20984)	400	1.900412	5.683408	(312.4097, -213.6287, -129.4719)
855	15	Constellation_Capricornus	1	15	Star_Sphere (10)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.77538, -11.36925)	(0.185385, -0.126325)	400	1.769227	5.700781	(327.502, -215.696, -78.85252)
856	15	Constellation_Capricornus	1	16	Star_Sphere (11)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.88659, -13.57965)	(0.1761175, -0.150885)	400	1.807806	5.729896	(330.8064, -204.3193, -93.91879)
857	15	Constellation_Capricornus	1	17	Star_Sphere (12)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.34162, -12.79305)	(0.304865, -0.142145)	400	1.794077	5.325424	(224.4279, -319.0409, -88.57208)
858	15	Constellation_Capricornus	1	18	Star_Sphere (13)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.27346, -12.36825)	(0.310545, -0.137425)	400	1.786663	5.30758	(219.0616, -323.5295, -85.67765)
859	15	Constellation_Capricornus	1	19	Star_Sphere (15)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.45367, -18.2196)	(0.2955275, -0.20244)	400	1.888788	5.354758	(227.6235, -304.2147, -125.064)
860	15	Constellation_Capricornus	1	20	Star_Sphere (16)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.4801, -17.8389)	(0.293325, -0.19821)	400	1.882144	5.361678	(230.2203, -303.2876, -122.5367)
861	15	Constellation_Capricornus	1	21	Star_Sphere (17)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.3226, -19.12905)	(0.30645, -0.212545)	400	1.904661	5.320445	(215.8914, -310.1761, -131.0788)
862	15	Constellation_Capricornus	1	22	Star_Sphere (18)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.65317, -14.98185)	(0.2789025, -0.166465)	400	1.832279	5.406987	(247.3277, -296.8777, -103.4052)
863	15	Constellation_Capricornus	1	23	Star_Sphere (19)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(20.66661, -18.1584)	(0.2777825, -0.20176)	400	1.88772	5.410506	(244.306, -291.1614, -124.6581)
864	15	Constellation_Capricornus	1	24	Star_Sphere (20)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.25929, -20.6586)	(0.2283925, -0.22954)	400	1.931357	5.56567	(281.9978, -246.0945, -141.1195)
865	15	Constellation_Capricornus	1	25	Star_Sphere (21)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(21.14169, -21.20625)	(0.2381925, -0.235625)	400	1.940915	5.534882	(273.2876, -253.7292, -144.6905)
866	15	Constellation_Capricornus	1	26	Star_Sphere (26)	0.25	RGBA(1.000, 1.000, 1.000, 1.000)	(21.45258, -21.2076)	(0.212285, -0.23564)	400	1.940939	5.616272	(293.0087, -230.6686, -144.6993)
867	15	Constellation_Capricornus	1	27	Star_Sphere (27)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(21.4026, -20.85795)	(0.21645, -0.231755)	400	1.934836	5.603188	(290.6466, -235.0336, -142.4209)
868	15	Constellation_Capricornus	1	28	Star_Sphere (28)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(21.29847, -17.9946)	(0.2251275, -0.19994)	400	1.884861	5.575927	(289.1856, -247.188, -123.5709)
869	15	Constellation_Capricornus	1	29	Star_Sphere (29)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(21.38331, -22.67325)	(0.2180575, -0.251925)	400	1.966519	5.598138	(285.8171, -233.5251, -154.1901)
870	15	Constellation_Capricornus	1	30	Star_Sphere (30)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(21.5763, -20.1501)	(0.201975, -0.22389)	400	1.922482	5.648662	(302.4246, -222.6043, -137.7923)
871	15	Constellation_Capricornus	1	31	Star_Sphere (31)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(21.69198, -14.06475)	(0.192335, -0.156275)	400	1.816272	5.678947	(319.3061, -220.4413, -97.2073)
872	15	Constellation_Capricornus	1	32	Star_Sphere (32)	0.2	RGBA(1.000, 1.000, 1.000, 1.000)	(21.71763, -14.3883)	(0.1901975, -0.15987)	400	1.82192	5.685662	(320.3201, -217.98, -99.39685)
873	15	Constellation_Capricornus	1	33	Star_Sphere (33)	0.2	RGBA(1.000, 1.000, 1.000, 1.000)	(21.73419, -14.76225)	(0.1888175, -0.164025)	400	1.828446	5.689998	(320.7174, -216.222, -101.9235)
874	15	Constellation_Capricornus	1	34	Star_Sphere (34)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(21.26172, -15.1677)	(0.22819, -0.16853)	400	1.835523	5.566306	(291.0393, -253.6589, -104.6581)
875	15	Constellation_Capricornus	1	35	Star_Sphere (35)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(20.95809, -16.05555)	(0.2534925, -0.178395)	400	1.851019	5.486815	(268.8116, -274.7759, -110.6277)
876	15	Constellation_Capricornus	1	36	Star_Sphere (36)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(20.67321, -16.1379)	(0.2772325, -0.17931)	400	1.852456	5.412234	(247.4874, -293.92, -111.1801)
877	15	Constellation_Capricornus	1	37	Star_Sphere (37)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(20.91261, -17.9289)	(0.2572825, -0.19921)	400	1.883715	5.474909	(262.881, -275.1934, -123.1346)
878	15	Constellation_Capricornus	1	38	Star_Sphere (38)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(20.76828, -21.52125)	(0.26931, -0.239125)	400	1.946413	5.437123	(246.6871, -278.5916, -146.7385)
879	15	Constellation_Capricornus	1	39	Star_Sphere (39)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(20.82138, -25.78545)	(0.264885, -0.286505)	400	2.020837	5.451025	(242.4963, -266.3066, -174.001)
880	15	Constellation_Capricornus	1	40	Star_Sphere (40)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(20.9601, -26.2611)	(0.253325, -0.29179)	400	2.029139	5.487341	(250.9863, -256.2853, -176.985)
